Customer_ID,Name,Age,Purchase_Amount,Email
1,Customer_1,50,1580,user1@example.com
2,Customer_2,30,7847,user2@example.com
3,Customer_3,43,7326,user3@example.com
4,Customer_4,63,1451,user4@example.com
5,Customer_5,40,4745,user5@example.com
6,Customer_6,50,8989,user6@example.com
7,Customer_7,38,4769,user7@example.com
8,Customer_8,46,1357,user8@example.com
9,Customer_9,58,7440,user9@example.com
10,Customer_10,34,166,user10@example.com
11,Customer_11,53,9843,user11@example.com
12,Customer_12,64,2179,user12@example.com
13,Customer_13,48,5488,user13@example.com
14,Customer_14,27,5285,user14@example.com
15,Customer_15,43,2408,user15@example.com
16,Customer_16,24,4427,user16@example.com
17,Customer_17,48,7076,user17@example.com
18,Customer_18,40,7108,user18@example.com
19,Customer_19,58,2130,user19@example.com
20,Customer_20,33,3727,user20@example.com
5,Customer_5,28,5000,user5@example.com
10,Customer_10,34,7500,user10@example.com
